2023-10-05 14:24:55.696026,!!! GAPE !!! 2023-10-05 14:24:55.696026
2023-10-05 14:24:56.804101,!!! GAPE !!! 2023-10-05 14:24:56.804101
2023-10-05 14:26:48.572770,!!! GAPE !!! 2023-10-05 14:26:48.572770
2023-10-05 14:26:49.659977,!!! GAPE !!! 2023-10-05 14:26:49.659977
2023-10-05 14:26:55.213092,!!!Eye MIS!!! 2023-10-05 14:26:55.213092
2023-10-05 14:26:56.306159,!!!Eye MIS!!! 2023-10-05 14:26:56.306159
2023-10-05 14:26:57.380240,!!!Eye MIS!!! 2023-10-05 14:26:57.380240
2023-10-05 14:31:08.443581,!!!Face Not Detected!!! 2023-10-05 14:31:08.443581
2023-10-05 14:31:09.535564,!!!Face Not Detected!!! 2023-10-05 14:31:09.535564
2023-10-05 14:31:10.602973,!!!Face Not Detected!!! 2023-10-05 14:31:10.602973
2023-10-05 14:31:11.662704,!!!Face Not Detected!!! 2023-10-05 14:31:11.662704
2023-10-05 23:22:54.553405,!!!Face Not Detected!!! 2023-10-05 23:22:54.553405
2023-10-05 23:22:55.640314,!!!Face Not Detected!!! 2023-10-05 23:22:55.640314
2023-10-05 23:22:56.712284,!!!Face Not Detected!!! 2023-10-05 23:22:56.712284
2023-10-05 23:22:57.804763,!!!Face Not Detected!!! 2023-10-05 23:22:57.804763
2023-10-05 23:22:58.871536,!!!Face Not Detected!!! 2023-10-05 23:22:58.871536
2023-10-05 23:22:59.950805,!!!Face Not Detected!!! 2023-10-05 23:22:59.950805
2023-10-05 23:23:07.192924,!!! GAPE !!! 2023-10-05 23:23:07.192924
2023-10-05 23:23:08.274768,!!! GAPE !!! 2023-10-05 23:23:08.274768
2023-10-05 23:23:09.352271,!!! GAPE !!! 2023-10-05 23:23:09.352271
2023-10-05 23:23:10.442319,!!! GAPE !!! 2023-10-05 23:23:10.442319
2023-10-05 23:23:11.536672,!!! GAPE !!! 2023-10-05 23:23:11.536672
2023-10-05 23:23:12.615816,!!! GAPE !!! 2023-10-05 23:23:12.615816
2023-10-05 23:23:25.304713,!!!Face Not Detected!!! 2023-10-05 23:23:25.304713
2023-10-05 23:23:33.751705,!!!Face Not Detected!!! 2023-10-05 23:23:33.751705
2023-10-05 23:23:34.810104,!!!Face Not Detected!!! 2023-10-05 23:23:34.810104
2023-10-06 11:05:14.981989,!!!Eye MIS!!! 2023-10-06 11:05:14.981989
2023-10-06 11:05:16.081206,!!!Eye MIS!!! 2023-10-06 11:05:16.081206
2023-10-06 11:05:17.164375,!!!Eye MIS!!! 2023-10-06 11:05:17.164375
2023-10-06 11:05:18.221048,!!!Eye MIS!!! 2023-10-06 11:05:18.221048
2023-10-06 11:05:19.319797,!!!Eye MIS!!! 2023-10-06 11:05:19.319797
2023-10-06 11:05:20.414877,!!!Eye MIS!!! 2023-10-06 11:05:20.414877
2023-10-06 11:05:21.515977,!!!Eye MIS!!! 2023-10-06 11:05:21.515977
2023-10-20 09:56:21.406595,!!! BEWILDER !!! 2023-10-20 09:56:21.406595
2023-10-20 09:56:22.502132,!!! BEWILDER !!! 2023-10-20 09:56:22.502132
2023-10-20 09:56:23.602993,!!! BEWILDER !!! 2023-10-20 09:56:23.602993
2023-10-20 09:56:29.610871,!!! GAPE !!! 2023-10-20 09:56:29.610871
2023-10-20 09:56:33.745108,!!!Face Not Detected!!! 2023-10-20 09:56:33.745108
2023-10-20 09:56:34.821547,!!!Face Not Detected!!! 2023-10-20 09:56:34.821547
2023-10-20 09:56:38.304312,!!! GAPE !!! 2023-10-20 09:56:38.304312
2023-10-20 09:56:39.387746,!!! GAPE !!! 2023-10-20 09:56:39.387746
2023-10-20 09:56:43.097833,!!!Eye MIS!!! 2023-10-20 09:56:43.097833
2023-10-20 09:56:44.177923,!!!Eye MIS!!! 2023-10-20 09:56:44.177923
